H,defTopId,S1C1,S1C2,S1C3,S1C4,S1C5,S1C6,S1C7,S1C8,S1C9,S1C11,S1C644,S1C643
R,440,CAM HOLDER,F000100488,5181-502AA18,2024126,M004,E-2.4R,18,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,2,20241119
R,440,CAM HOLDER,F000100510,5181-502AA18,2024126,M005,E-2.4R,18,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,2,20241119
R,440,CAM HOLDER,F000100557,631-502NA30,202412_,PM-5089001,,,,,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100583,6105-502AA38,2024127,M006,M-LEC6DSIB,38,20,帛飛特(BO FEI TE),,2,20241119
R,440,CAM HOLDER,F000100607,3164-502EB30,2024127,M104,M2XC-A3.2RE,30,44,PETTENATI IND.TEXTIL S.A.(BRASIL),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100625,3164-502EB30,2024127,M105,M2XC-A3.2RE,30,44,PETTENATI IND.TEXTIL S.A.(BRASIL),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100661,5181-502AA17,2024128,M003,E-2.4R,17,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,2,20241119
R,440,CAM HOLDER,F000100731,5165-502AA36,2024121,M008,M-6ER42,36,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100754,5165-502AA36,2024121,M009,M-6ER42,36,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100777,5165-502AA36,2024121,M010,M-6ER42,36,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100800,5165-502AA38,2024122,M011,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100823,5165-502AA38,2024122,M012,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100846,5165-502AA38,2024122,M013,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100869,5165-502AA38,2024122,M014,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100892,5165-502AA38,2024123,M015,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100915,5165-502AA38,2024123,M016,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100938,5165-502AA38,2024123,M017,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100967,5165-502AA38,2024124,M018,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000100990,5165-502AA38,2024124,M019,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101013,5165-502AA38,2024124,M020,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101036,5165-502AA38,2024125,M021,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101059,5165-502AA38,2024125,M022,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101082,5165-502AA38,2024125,M023,M-6ER42,38,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101093,5165-502AA44,2024126,M024,M-6ER22,44,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101099,5165-502AA44,2024126,M025,M-6ER22,44,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101108,5181-502AA16,2024128,M002,E-2.4R,16,18,ＴＨＡＩ ＧＵＮＺＥ ＣＯ．，ＬＴＤ．（ＴＨＡＩＬＡＮＤ）,,2,20241119
R,440,CAM HOLDER,F000101116,5165-502AA44,2024128,M026,M-6ER22,44,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101122,5165-502AA44,2024128,M027,M-6ER22,44,18,FAKIR FASHION LIMITED,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101167,474-502AB30,2024121,M028,M-7E22,30,20,（株）紀南スポーツジャージ,,2,20241119
R,440,CAM HOLDER,F000101207,5154-502EA36,2024122,M029,M-9ME42,36,28,M/S.TEXTIL PADILLA CIA.LTDA.(ECUADOR),,1,20241119
R,440,CAM HOLDER,F000101234,5154-502EA36,2024122,M030,M-9ME42,36,28,M/S.TEXTIL PADILLA CIA.LTDA.(ECUADOR),,1,20241119
R,440,CAM HOLDER,F000101262,5172-502AC30,2024122,M031,MC-4.0MI,30,28,ＣＯＮＴＥＭＰＯＲＡ．,,2,20241119
R,440,CAM HOLDER,F000101267,6210-502FA34,2024122,M007,M-LEC4DGTFY6,34,18,ＴＵＲＫＥＹ：ＣＥＬＩＫ ＭＡ ＫＡＳ,,2,20241119
R,440,CAM HOLDER,F000101288,5156-502MA5.5,2024129,C12-01,EL-SRB,5.5,8,アンドー（株）,,1,20241119
R,440,CAM HOLDER,F000101289,5156-502NA5.5,2024129,C12-01,EL-SRB,5.5,8,アンドー（株）,,1,20241119
R,440,CAM HOLDER,F000101290,5156-502PA5.5,2024129,C12-01,EL-SRB,5.5,8,アンドー（株）,,1,20241119
R,440,CAM HOLDER,F000101291,5156-502QA5.5,2024129,C12-01,EL-SRB,5.5,8,アンドー（株）,,1,20241119
R,440,CAM HOLDER,F000101343,3164-502AB30,2024123,M112,OD7-M2XC-A3.2RE,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101352,3164-502AB30,2024123,M113,OD7-M2XC-A3.2RE,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101361,3164-502AB30,2024123,M114,OD7-M2XC-A3.2RE,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101370,3164-502AB30,2024123,M115,OD7-M2XC-A3.2RE,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101379,3164-502AB30,2024124,M116,OD7-M2XC-A3.2RE,30,36,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101388,3164-502AB30,2024124,M117,OD7-M2XC-A3.2RE,30,36,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101406,3164-502EB30,2024124,M118,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101424,3164-502EB30,2024124,M119,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101442,3164-502EB30,2024124,M120,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101464,5154-502AA30,2024125,M032,OD5B-M-9ME42,30,28,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101488,5154-502AA30,2024125,M033,OD5B-M-9ME42,30,28,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101512,5154-502AA30,2024125,M034,OD5B-M-9ME42,30,28,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101536,5154-502AA30,2024125,M035,OD5B-M-9ME42,30,28,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101571,3164-502EB30,2024126,M121,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101589,3164-502EB30,2024126,M122,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101607,3164-502EB30,2024126,M123,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101625,3164-502EB30,2024126,M124,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101643,3164-502EB30,2024126,M125,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101661,3164-502EB30,2024127,M126,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101679,3164-502EB30,2024127,M127,M2XC-A3.2RE,30,28,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101684,478-502AC30,2024122,M036,OD5B-M-8ME42,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,,1,20241119
R,440,CAM HOLDER,F000101692,478-502AC30,2024122,M037,OD5B-M-8ME42,30,32,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,,1,20241119
R,440,CAM HOLDER,F000101776,5165-502AA40,2024124,M038,M-6ER22,40,18,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101799,5165-502AA40,2024124,M039,M-6ER22,40,18,ＴＨＥ ＡＲＶＩＮＤ ＭＩＬＬ Ｓ ＬＩＭＩＴＥＤ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101822,5165-502EA34,2024124,M040,M-6ER22,34,16,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,3,20241119
R,440,CAM HOLDER,F000101871,3164-502EB30,2024129,C12-02,M2XC-S3.2DFDRE,30,20,ＢＯＳＴＯＮ ＲＯＡＤ ＢＥＡ ＵＭＯＮＴ ＬＥＹＳ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101875,3164-502EB30,2024129,C12-03,M2XC-S3.2DFDRE,30,20,ＢＯＳＴＯＮ ＲＯＡＤ ＢＥＡ ＵＭＯＮＴ ＬＥＹＳ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101879,3164-502EB30,2024129,C12-04,M2XC-S3.2DFDRE,30,20,ＢＯＳＴＯＮ ＲＯＡＤ ＢＥＡ ＵＭＯＮＴ ＬＥＹＳ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101883,3164-502EB30,2024129,C12-05,M2XC-S3.2DFDRE,30,20,ＢＯＳＴＯＮ ＲＯＡＤ ＢＥＡ ＵＭＯＮＴ ＬＥＹＳ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101887,3164-502EB30,2024129,C12-06,M2XC-S3.2DFDRE,30,20,ＢＯＳＴＯＮ ＲＯＡＤ ＢＥＡ ＵＭＯＮＴ ＬＥＹＳ,無電解ニッケルメッキ,1,20241119
R,440,CAM HOLDER,F000101925,5165-502EA34,2024127,M041,M-6ER22,34,16,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,3,20241119
R,440,CAM HOLDER,F000101948,5165-502EA34,2024127,M042,M-6ER22,34,16,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,3,20241119
R,440,CAM HOLDER,F000101971,5165-502EA34,2024127,M043,M-6ER22,34,16,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,3,20241119
R,440,CAM HOLDER,F000101994,5165-502EA34,2024127,M044,M-6ER22,34,16,YESIM/JADE APPAREL COMPANY(EGYPT),無電解ニッケルメッキ,3,20241119
R,440,CAM HOLDER,F000104062,3167-502AA30,2024129,C12-07,OD6-M2XC-A3RES,30,28,寧波申洲針織品有限公司,無電解ニッケルメッキ,1,20241119
